feedback_text,is_PRODUCT,is_PRICE,is_SHIPPING,is_SERVICE,is_PLATFORM
giá cả tuyệt vời dể dàng mua sắm,0,1,0,0,0
sản phẩm cắt cổ người ta à đắt như j á tải shopbe được hơn,0,1,0,0,0
100 lừa đảo nhất là ham rẻ free ship,0,1,1,0,0
rất là hài lòng với cửa hàng,0,0,0,1,0
quá oke,1,0,0,0,0
đồ câu đẹp,1,0,0,0,0
liên quan tiền nong mà không mượt mà là không thích rồi,0,1,0,0,1
giao hàng quá tệ quá hạn giao đến 5 ngày mà chả thấy đã động gì dám lấy lý do khách hẹn giao ngày khác để không giao hàng thật là bố láo tiki giờ chỉ giỏi dụ khách hàng cờ bạc tiền ảo,0,0,1,0,1
dạo này có đặt mấy đơn 1 tháng rồi chưa giao mà không hủy đơn được đã trả tiền rồi nữa chứ nhắn tin thì không ai trả lời toàn bắt nói chuyện với ai thôi không khiếu nại được lazada làm ăn không uy tín gì cả sao dám mua hàng nữa,0,0,1,0,0
nhanh tiện lợi,0,0,1,0,0
giá mắc hơn sàn s thấy nhiều hàng gc ít mã voucher nói chung là tệ,0,1,0,0,0
app hay lắm nhá mn nên tải về,0,0,0,0,1
shipper giao hàng vào lúc mà khách không nhận được rồi tự ý hủy giao hàng,0,0,1,0,0
tôi đã đặt mua đơn hàng từ 28 1 2026 đến những 6 2 2026 đơn hàng cứ đến báo sẽ nhận trong 24h sau đó lại delay suốt những 9 ngày nt hỗ trợ thì toàn al trả lời trong vô thức khi tìm đến được nv hỗ trợ thì báo do gọi mình không nghe mình xác nhận không có ai gọi lỗi thuộc về hết bên giao hàng thì nói câu thông cảm bảo đặt lại đơn khác để hết phần thiệt thòi cho khách hàng và cửa hàng bán hàng rival stor thái độ cũng i chang kêu tự đặt lại chứ cũng không hỗ trợ gì chắc nguồn khách các bạn đã quán hiều,0,0,1,0,0
quảng cáo nhiều như bán đắt hơn các sàn khác nhiều quá ít khuyến mãi,0,1,0,0,0
hàng đúng chất lượng và xài tốt,1,0,0,0,0
quá tệ còn lừa đảo lần đầu deal cho người mới giảm 100k mà không cho đặt đặt xong khoá tài khoản,1,1,0,0,0
muốn đặt hàng mà chat với cửa hàng mấy ngày không ai hồi âm cả vậy sao mà biết để đặt hàng tiếp tục đây,0,0,1,1,0
chắc tao điên mất thôi muốn gặp trực tiếp nhân viên hỗ trợ để trao đổi 1 số vấn đề mà cái trợ lý ai tép thám tử nó hỏi tao tận cả chục câu vẫn không cho tao gặp nhân viên hỗ trợ chúng mày bị điên à tắt mịa giúp tao cái tép rác rưởi đó dùm tao cái nha lần nào muốn tư vẫn cũng vì cái ai này làm tao nổi khùng cả,1,0,0,1,0
nhanh,0,0,1,0,0
tiki chuẩn bị hàng rất lâu rất kỳ cục nha,0,0,1,0,1
bán đắt thí mẹ luôn má mua có cái động cơ đồ chơi bên lazada có 10k mà bên đây nó bán mấy trăm ngàn luôn,1,1,0,0,1
wow you can play or tiki,0,0,0,0,1
đặt hàng từ 2 11 dự kiến 7 11 có tới ngày 10 11 không thấy vào kiểm trà thì thời gian dự kiến thành 11 11 qua ngày 11 11 nó hủy đơn hàng méo giao là sao nữa bấm vào hỗn hợp trợ thì chat lazada nó bị ngu không giải quyết được cái gì cái app như qq nên qua các nền tảng khác mua đồ cho đỡ tức nhé,1,0,1,1,1
nhiều quảng cáo trên ứng dụng,0,0,0,0,1
cũng ngon,1,0,0,0,0
giao hàng nhanh ghê 2h sau là có rồi khuyến mãi nhiều đáng tin cậy,0,1,1,0,0
app lỗi không vô được,0,0,0,0,1
cho voucher mà sử dụng toàn bị hủy,0,1,0,0,0
cứ thích là cr01 không cho khách hàng mua đồ à làm ăn kiểu gì thế,1,0,0,0,0
mua hàng bình thường mà bảo là bất thường không cho đặc hàng mình thấy app bất ổn hổ trợ khách hàng cũng không giúp được gì chán thật,1,0,0,0,1
làm ăn bố láo không tôn trọng khách hàng bảo sao làm ăn thua lỗ đáng lắm,0,0,0,0,0
tốt và thuận tiện,0,0,0,0,0
ok phết mỗi tội là tuyển ship bên đây không được tận tâm ô nào cũng vô duyên ak,1,0,1,0,0
má cho vch người mới còn còn bị lỗi này lỗi kia nhất quyết không cho đặt mặc dù t tạo đúng 2 acc 2 sdt khác nhau,1,0,0,0,1
ok nên thử vì toàn đồ rẻ và ngon mà không có lừa đảo hay các chiêu chò gì hết 5,1,1,0,0,0
mua hàng trên lazada rất tốt khởi lo bị nhà bán hang gạt đổi trả thói may cảm ơn lazada,0,0,0,0,1
cũng ổn nhưng mà mình thấy nếu đơn hàng bị hủy mà do bên cửa hàng á thì nên bắt cửa hàng bồi thường cho người mua kiểu như bên tik tok cửa hàng á với lại khi giao hàng trễ thì nên tặng voucher giảm giá tối thiểu 0đ chứ giao trễ mà đưa cái voucher giảm 15k cho đơn 100k,1,1,1,1,0
