content,score,app_source
Rất đáng để tải,5,com.shopee.vn
Đặt hàng về tới kho gần nhà rồi mà không thấy đi giao. Khiếu nại thì nói chờ 24h từ ngày này qua ngày khác. Kêu nhân viên hỗ trợ thì kêu bận không rảnh tiếp khách hàng rồi cho con Ai shopee nhắn không giải quyết được vấn đề. Nói chung là app tệ hơn cả chữ tệ. Khắc phục giùm đi người ta đặt trả tiền mà cứ như cho không thích thì giao không thích thì để đó không thèm giao cho ngta.,1,com.shopee.vn
"Trải nghiệm tệ đơn bị shop hủy và shopee giải quyết ko thoả đáng, cskh cũng không giải quyết được vấn đề mà còn bắt khách hàng đợi phản hồi lâu, đã cảm thông và không đánh giá kém cho nhân viên cskh nhưng hôm nay phải đánh giá lại vì trải nghiệm tệ cực",1,com.shopee.vn
tại sao tôi tải Shopee về để mua sắm mà lại ko đặt hàng uk tôi ko tại sao lại hiểu xứng đáng 1 sao,1,com.shopee.vn
tốt ạ,5,com.shopee.vn
hay,5,com.shopee.vn
sài ok không dung lượng nặng và ít quảng cáo.,5,com.shopee.vn
ok,5,com.shopee.vn
tuyệt vời,5,com.shopee.vn
minh rat hài lòng với shopee,5,com.shopee.vn
"riêng mình rất thích mua sắm trên shopee ! mọi thắc mắc ,đơn trả hàng rất nhanh chóng tiền hoàn về rất đúng ,rất uy tính ...",5,com.shopee.vn
"mình thấy giao lâu, đăng nhập cg k đc, app cứ tự đẩy ra th, cho cái voocher mà dùng k đc chả hiểu luôn",1,com.shopee.vn
tốt,5,com.shopee.vn
tự nhiên khoá tài khoản,1,com.shopee.vn
tốt hơn mỗi dịch vụ khác,5,com.shopee.vn
"sdt, thông tin tôi cho đều đúng, hôm đầu gọi đc nhưng mấy hôm sau bảo ko gọi đc trong khi máy tôi ko có cuộc gọi nào, xong bị hủy đơn",1,com.shopee.vn
kém,1,com.shopee.vn
giao không đúng hẹn chả biết sao ngày nào luôn chịu,1,com.shopee.vn
Cập nhật ko được,1,com.shopee.vn
app như l,1,com.shopee.vn
tốt,4,com.shopee.vn
ok tốt,5,com.shopee.vn
càng ngày chất lượng càng tệ,1,com.shopee.vn
hàng mua rẻ uy tín giao hàng nhanh,5,com.shopee.vn
nhiều đơn hàng giá rẻ và miễn phí vận chuyển hãy cài đặt ngay để cùng săn nhiều đơn hàng giá rẻ nào,5,com.shopee.vn
tạm ổn,1,com.shopee.vn
"mua hàng của shopee rất đa dạng, rẻ và yên tâm.",4,com.shopee.vn
tối ngày cứ quảng cáo mệt hết cả người,1,com.shopee.vn
oke good job,5,com.shopee.vn
"đơn hàng trong kv tphcm shop cũng ở kv tphcm, mà dự kiến trong 3 ngày giao,đợi 3 ngày rồi không thấy đâu, tao đâu có cần cái voucher 15k của tụi mày, cái tao cần là đúng hẹn đúng giờ, lấy voucher 15k của tụi mày để đốt ăn hay gì, tao hủy luôn 6 đơn còn lại, tao xoá app luôn",1,com.shopee.vn
có giao hay không chứ đúng hẹn có là gì,1,com.shopee.vn
"giao hàng rất lâu, có đơn đặt trc 1 tuần tết mà sau tết mới giao, mã giảm giá shop tặng vì giao chậm ko dùng đc, sử dụng mấy số điện để đặt hàng thì cx ko dùng đc. Quá thất vọng",2,com.shopee.vn
tôi rất thích dùng theo mẫu,5,com.shopee.vn
đã đánh giá nhưng ko thấy cho xu kkkkk,4,com.shopee.vn
không tìm được điện thoại mini chỉ cho ba sao thôi chứ không phải cho 4 sao,4,com.shopee.vn
Shopee rất tiện lợi.,5,com.shopee.vn
sp ok tuy theo chủ xop,4,com.shopee.vn
ôk,4,com.shopee.vn
càng ngày ship càng chậm,3,com.shopee.vn
chán luôn,1,com.shopee.vn
Tuyệt vời,5,com.shopee.vn
"nhiều lúc bọn shipper tự ý trưa gọi nhận hàng đã cho đơn quay trả về, shipper nhiều lúc bố náo",5,com.shopee.vn
mua nhanh giá rẻ,5,com.shopee.vn
Tôi cảm thấy xài rất là tốt nhưng mà có một cái tôi không hài lòng đó chính là tôi không làm gì mà bị shopee cấm nhận xu live hết tôi mong shopee có thể Bồi thường cho tôi 3000 xu :(,4,com.shopee.vn
má cho vch người mới còn còn bị lỗi này lỗi kia nhất quyết k cho đặt mặc dù t tạo đúng 2 acc 2 sdt khác nhau,1,com.shopee.vn
khóa bừa,1,com.shopee.vn
