content,score
game rất nhiều người nói tục và từ ngữ xúc phạm khiến cho mỗi khi chơi game không có cảm giác thoải mái,1
mẹ ghép cho toàn đồng đội ngu,1
chơi lúc nào cx thua còn bị toxic đã vậy còn bị ks nữa,1
game lag nhiều,1
hay,5
game như lòn rank đơn ghép toàn sv,1
game vui lắm nên trải nghiệm,5
game ko tối ưu cho người chơi trừ uy tính oan game như rác bị out game liên tục uy tính cũng vậy thu HOK nên qua bểnh chơi mượt hơn tối ưu hơn lồng lộn hơn tốt hơn game rác này nhiều .,1
Tốn nhiều dung lượng,3
hơi lagg vs nó cứ tự tải tài nguyên hơi khó chịu nhưng thích chơi,4
game rác,1
ghép đội ngu như cac,1
ghép trận ngu nhu cho ghép toàn trâu với bò,1
game chơi toàn gặp sv chơi phải tải này nọ lắm game rác cho sv chơi,1
lệch rank,1
"chơi game thua nhiều hơn cả thắng,khẩu hiệu pet bắt phải có khẩu hiệu vàng nhưng nhiều đứa lại có free làm ăn kiểu gì vậy!",1
"lag, ng chs k văn minh, mất acc, nhiều ng vào phá rank",3
dm t bị thoát trận xong dell dc chs bị trừ uy tín,1
hay,5
trải nghiệm cực tệ với game can thiệp tỉ lệ ván đấu khiến người chơi ức chế,1
game hay,5
good game 🤓,5
"Ai xúi game cho một đóng hiệu ứng vô vậy? Hết tết rồi bỏ cái nền bắn pháo hoa dùm cái đi, mong game fix lại lỗi",2
tải với cập nhật tốn quá nhiều dung lượng rồi vừa cập nhật xong bắt tải đồ hoạ này nọ tải đồ hoạ mà vô chơi nó lag muốn banh cái đt với nó xếp lệch rank rồi cho tao đồng đội nhưl,2
game chơi kiểu gì mà ko sài chiêu đc lỗi tự đi chuyển mong game khắc phục,2
đc,3
ghép team như quần game thì lag,1
hay,5
cơ chế ghép đơn chán,2
game buff chp con butterfly mạnh vaiz kăc,1
khá hay và vui và căng thăng,5
Lien quan mobie Cap nhat 2024,5
game khá nhiều trẻ châu thua cái là nói tục nói lại cái bắt đầu phá,2
"game như lol ghép toàn gặp team ngu ,afk,hack game",1
chịu game acc đăng nhập garena cx bị hack ko hỉu vận hành kỉu j,1
Ghép toàn thk ngu thua quài,4
ghép trận như đb,1
hay,5
game như qq toàn hack máp ko,2
game lolll càng đánh càng đổ điên...mẹ game lom,1
nice,5
mía game càng ngày càng xuốg vl ghép trận toàn gặp 4 chân nhiều khi thấy 4 chân còn có giá trị hơn á,1
tạm,4
game hay nhưng bị mẹ gank nên đánh giá 1 sao đề nghị Garena khắc phục lỗi,1
Game lon,1
Game rác toàn bịp ko nên tải,1
oki á :],4
ko vô đồng đều lúc ban pick nên nhìu lúc khó chịu,2
ổn mà trận hơi lâu,5
máy mình yếu nên ko tải gói hình ảnh xong lúc mình đang chơi hoặc thoát ra vô lại thì liên quân tự tải mấy cái mình đã dừng tải xong lúc mình đang chơi thì tự tải xong mình bị văng game trừ uy tính đã rất nhiều lần game tự tải gói dữ liệu mình đã tạm dừng văng và trừ uy tính rất nhiều,1
ghép team như tật,1
"game hay , dễ nghiện🙆",5
game hay nhaaa,5
game j mà cứ lag là cứ trừ uy tín,2
trơi quày mà không tăng uy tín không chơi xh được gem lõ vãi,2
hay,5
xóa đi tải lại ko vô đc cứ chạy ở 0% ý,4
game hay ko có nhưng,5
ghép trận toàn gặp phá afk mà tố cáo thì trừ có 7 uy tín,1
"game chán,garena hút máu, người chơi đơn ức chế bởi team,thua ko rõ lí do,game tồi không như ngày xưa",1
game hơn loll nói thật garena và nhà làm game tinmi ko sửa lỗi sữa tính năng thây đổi tính năng gép trận thì game chết meh đi là vứa,1
rat hay,5
load trận cả tiếng k cho vào out vào lại thì bị trừ uytin afk,3
"game h rác vl,nó rõ ràng đứng yên trong tế đàn thậm chí còn không nhúc nhích một tí nào mà không tính là afk đồng đội afk thì vẫn bị trừ sao như thường trả lại cơ chế game cũ đây",1
game chs hút máu vổn lài ra,1
thế dell nào vào game bị đơ ra ko có thao tác được,1
game đc,5
ghép cc đm chọn đg chính mid ghép toàn bắt ik ad nó chọn ad phá hủy trận thì phạt game như cl,1
"Hệ thống tố cáo, tính điểm, vai trò thiếu xác thực, ai tôn trọng sự công bằng thì không nên chơi",1
đánh giá 5 sao,1
game chơi vui vãi chưởng nhưng mong anh gà tặng cho em thẻ giá 999qh nhe nhưng game qias hay,5
"game kiểu cố làm khó mih á,ghép team toàn mấy bọn nghỉ hè,phá r tố cáo tùm lum🥰",1
"ghép team đầu toàn bã mía đè tem. Chơi thua liên tục, feed 11 mạng mà tố cáo không bị trừ uy tín, cay cú éo tả được. Game chiến thuật mà thắng bại tại con lính, cuối game full đồ chí mạng mà đánh không tuột máu. Khi nào giảm sức mạnh con lính thì tao tải lại.",1
nói tối ưu r biết khi nào tối ưu o điện thoại tôi nó không có màn xuất hiện với skin độ hoạ lại xấu dù đã chỉnh độ hoạ cao,1
10 điểm,5
ngày lễ không gửi rương chọn skin cho từng acc đi mà phải bắt nhập code,1
Không cho cài cài đạt trên nền tảng giả lập,1
được đấy.,5
quá hay,5
hay,5
hay :)),5
ra lại aya cccv vào ngày 8/3 đi 😭,5
nhiều phá gems 10 chan trong đó co 9 chan ghép với phá gems mạng lác cho dù ko tải giảm đồ hoạ vẫn lác chơi ma thấy nản,1
quá tuyệt,5
Đang đi rừng bị mẹ kêu ăn cơm mong game khác phục lỗi,5
ổn,4
game rác,1
Xoá bớt mấy cái xàm đi lag lắm game ạ,3
game rác,1
game rác,1
rất hay nhưng hơi đơ,5
"game nặng quá, chơi ko mượt ạ",5
chơi hay,5
xếp team không hợp lí,1
ghép toàn bot,1
game rác như l ko nên chơi chơi sẽ bị bệnh tâm thần,1
vui nhưng mà tại sao ko có Skin zuka SS vậy,5
rất tốt,5
hệ điều ghép trận rác,1
game ghép lệch trình vl không gánh nổi,2
bạn thì kinh ròi,5
hay,5
Game chơi vùi,5
Game hay,5
game rất là rác,1
hay,5
game gì cứ vào là bắt đăng nhập lại hoài v ???,1
như đb,1
game ghép toàn súc vật 10 trận thì thua cả 10,1
hay,5
hack j nhìu vl bay mẹ acc,1
vẽ bùa veres lưu ly long mẫu full là 150 lần mà vẽ 152 lần vẫn chx ra ngộ z 100gts 850k của tui mà game làm z hả,1
game dell j toàn SV chết nhiều thì chửi còn ăn nhiều kêu bảo hack chịu luôn!,1
dung lượng nặng quá,2
bị cấm thi đấu vì chọn đúng đường,1
"ghép trận toàn sv chơi game phá chuỗi thua liên tục gây tụt rank,ko đáng chơi nên xóa",1
"38* còn 20* thề game ghép trận nể luôn ghép cho toàn "" tuyển thủ"" team mình , đi đơn đct 2 mà ghép cho tinh anh , đúng chịu",1
t chiệu game ghép như cái l,1
hệ thống ghép trận như nịt,1
game chs hay mong gà rán cho mik nak thứ nguyên vệ thần,5
"Cảm ơn Dady 🐔 cho 12kQh ,Game rất hay",5
game cho tuất chới,1
game toàn gép team mình gà team bạn chs hay game như skibidi,1
game hay mấy con gà máy yếu thì biết cc j😏😏😏😏😏😏🤐🤐🤐🤐🐓🐓🐓🐓🐓🐓🐤🐤,5
chơi hay dễ chơi,3
"game như lolll chơi cờ liên quân như may rủi, mất cân bằng tướng vcl. Tóm lại là game rác",1
gặp đồng đội ngu như con bò ấy.,3
xếp rank nhu lon bò,1
ghép trận tàn tạ,1
tôi rất thích,5
hay,5
game ghép không công bằng không nên chơi không nên tải về.,1
tui thấy chơi hay mà chắc mấy ông ko hên thôi chứ tôi chơi chung v ah em vui gần chết ah em muốn team hay thì đi team 5,5
quá đã luônnn chơi rt mượt mà & ĐẲNG's CẤP,5
cái cơ chế gì cân bằng tỉ lệ thắng gì đó ắ là 1 cái sự thất bại trong cân bằng game ắ ghép thì siêu lệch mà hình như muốn cho người chs về gank bang đầu muốn cày thì phải cái này là muốn người chs bỏ game hả mà chắc t bỏ game trước game làm khó hiểu vl ?,1
toàn ghép cho tao toàn mấy đứa bị siđa,1
game hay nhưng chơi toàn thua,3
"đã xoá game, cơ chế xếp đội quá hãm, toàn xếp sv",1
chơi vài trận thắng là thua. chịu xóa game,1
"cho 0☆ luôn mới vừa,game nứng cc chúc china new year",1
"ghép team ko đúng trình độ. team mik thì toand test tướng,phá game,afk->team bn thì đánh như tuyển thủ",1
game càng ngày càng rác tố cáo hack quay vd gửi rồi mà vẫn ko thấy khoá,1
"Chào Garena, mình dùng máy Galaxy A25 5G (Chip Exynos 1280), vừa cập nhật lên One UI 8.0 nhưng mà vẫn không bật được HD ạ.mong garena hỗ trợ",2
game oc c toàn ghép chung với máy,1
game j mà cơ chế ghép trận mà muốn bỏ game,1
