app,content,score,sentiment,review_clean,review_segmented,language
Tiki,Rất hay và bổ ích quá đi 😊😊😊😊😊😊,5,positive,rất hay và bổ ích quá đi,rất hay và bổ_ích quá đi,vi
Shopee,hàng hóa phong phú,4,positive,hàng hóa phong phú,hàng hóa phong_phú,vi
Tiki,"Tôi hiểu cảm giác chờ đợi của các bạn là rất khó chịu, hụt hẫng. Tôi cũng biết Tiki đã rất cố gắng để hoàn thành tốt công việc, tôi thông cảm cho tất cả. Tôi cũng đã chờ hàng của Tiki hơn cả tháng rồi, lý do gì thì tôi không quan tâm. Nhưng cá nhân phải nói thật là Tiki chăm sóc khách hàng rất tốt, nhanh nhẹn, phần tôi thích nhất là hàng của Tiki chất lượng tuyệt vời. Dù sao cũng mong Tiki làm tốt việc giao hàng đúng hẹn cho khách. Từ hôm nay Tôi sẽ là khách hàng lâu dài của Tiki. Cảm ơn.",5,positive,tôi hiểu cảm giác chờ đợi của các bạn là rất khó chịu hụt hẫng tôi cũng biết tiki đã rất cố gắng để hoàn thành tốt công việc tôi thông cảm cho tất cả tôi cũng đã chờ hàng của tiki hơn cả tháng rồi lý do gì thì tôi không quan tâm nhưng cá nhân phải nói thật là tiki chăm sóc khách hàng rất tốt nhanh nhẹn phần tôi thích nhất là hàng của tiki chất lượng tuyệt vời dù sao cũng mong tiki làm tốt việc giao hàng đúng hẹn cho khách từ hôm nay tôi sẽ là khách hàng lâu dài của tiki cảm ơn,tôi hiểu cảm_giác chờ_đợi của các bạn là rất khó_chịu hụt_hẫng tôi cũng biết tiki đã rất cố_gắng để hoàn_thành tốt công_việc tôi thông_cảm cho tất_cả tôi cũng đã chờ hàng của tiki hơn cả tháng rồi lý_do gì thì tôi không quan_tâm nhưng cá_nhân phải nói thật là tiki chăm_sóc khách_hàng rất tốt nhanh_nhẹn phần tôi thích nhất là hàng của tiki chất_lượng tuyệt_vời dù_sao cũng mong tiki làm tốt việc giao hàng đúng hẹn cho khách từ hôm_nay tôi sẽ là khách_hàng lâu_dài của tiki cảm_ơn,vi
Lazada,rât hữu ich nhưng hàng về lâu,5,positive,rât hữu ich nhưng hàng về lâu,rât hữu_ich nhưng hàng về lâu,vi
Tiki,Tuyệt ạ,5,positive,tuyệt ạ,tuyệt ạ,vi
Tiki,"Tự động hủy hàng mà phải đợi 3,4 ngày mới trả tiền lại . Uy tín mới cho 5 sao mà tiki mắc quá không nên tải về nha mn",5,positive,tự động hủy hàng mà phải đợi 3 4 ngày mới trả tiền lại uy tín mới cho 5 sao mà tiki mắc quá không nên tải về nha mn,tự_động hủy hàng mà phải đợi 3 4 ngày mới trả tiền lại uy_tín mới cho 5 sao mà tiki mắc quá không nên tải về nha mn,vi
Shopee,rất tốt,5,positive,rất tốt,rất tốt,vi
Shopee,"Quên hủy gói đăng ký Shopeevip tự động gia hạn, không có như cầu dùng nữa lại không cho hoàn tiền, đúng là đớp thì nhanh nhả ra thì khó",1,positive,quên hủy gói đăng ký shopeevip tự động gia hạn không có như cầu dùng nữa lại không cho hoàn tiền đúng là đớp thì nhanh nhả ra thì khó,quên hủy_gói đăng_ký shopeevip tự_động gia_hạn không có như cầu dùng nữa lại không cho hoàn tiền đúng là đớp thì nhanh nhả ra thì khó,vi
Tiki,Thao tác khá khó so với các app khác :^) và hơn nữa đóng gói cũng 50/50 nữa có lúc hàng tới tay muốn tè le rồi.,4,positive,thao tác khá khó so với các app khác và hơn nữa đóng gói cũng 50 50 nữa có lúc hàng tới tay muốn tè le rồi,thao_tác khá khó so với các app khác và hơn_nữa đóng_gói cũng 50 50 nữa có lúc hàng tới tay muốn tè_le rồi,vi
Lazada,"Quỵt tiền của khách, khuyên mọi người mua thì đừng sử dụng các phương thức thanh toán như qua thẻ ngân hàng hay gì. Tốt nhất chỉ nên chọn COD. Mình bị lazada hủy 2 đơn xong ko hoàn lại tiền cho mình",1,positive,quỵt tiền của khách khuyên mọi người mua thì đừng sử dụng các phương thức thanh toán như qua thẻ ngân hàng hay gì tốt nhất chỉ nên chọn cod mình bị lazada hủy 2 đơn xong không hoàn lại tiền cho mình,quỵt tiền của khách khuyên mọi người mua thì đừng sử_dụng các phương_thức thanh_toán như qua thẻ ngân_hàng hay gì tốt nhất chỉ nên chọn cod mình bị lazada hủy 2 đơn xong không hoàn lại tiền cho mình,vi
