epoch,phase,train_loss,bio_loss,sent_loss,glob_loss,cons_loss,ctr_loss,w_bio,w_sent,w_global,w_cons,w_contrast,tas_strict_p,tas_strict_r,tas_strict_f1,tas_relaxed_p,tas_relaxed_r,tas_relaxed_f1,span_p,span_r,span_f1,sent_matched_p,sent_matched_r,sent_matched_f1,sent_goldspan_p,sent_goldspan_r,sent_goldspan_f1,global_p,global_r,global_f1,is_best,span_f1_Fashion,span_f1_Electronics,span_f1_General,span_f1_Service,span_f1_Ship,span_f1_Price,span_f1_App,sent_f1_Fashion,sent_f1_Electronics,sent_f1_General,sent_f1_Service,sent_f1_Ship,sent_f1_Price,sent_f1_App,pred_NEG_Fashion,pred_POS_Fashion,pred_NEU_Fashion,pred_TOTAL_Fashion,pred_NEG_Electronics,pred_POS_Electronics,pred_NEU_Electronics,pred_TOTAL_Electronics,pred_NEG_General,pred_POS_General,pred_NEU_General,pred_TOTAL_General,pred_NEG_Service,pred_POS_Service,pred_NEU_Service,pred_TOTAL_Service,pred_NEG_Ship,pred_POS_Ship,pred_NEU_Ship,pred_TOTAL_Ship,pred_NEG_Price,pred_POS_Price,pred_NEU_Price,pred_TOTAL_Price,pred_NEG_App,pred_POS_App,pred_NEU_App,pred_TOTAL_App,gold_NEG_Fashion,gold_POS_Fashion,gold_NEU_Fashion,gold_TOTAL_Fashion,gold_NEG_Electronics,gold_POS_Electronics,gold_NEU_Electronics,gold_TOTAL_Electronics,gold_NEG_General,gold_POS_General,gold_NEU_General,gold_TOTAL_General,gold_NEG_Service,gold_POS_Service,gold_NEU_Service,gold_TOTAL_Service,gold_NEG_Ship,gold_POS_Ship,gold_NEU_Ship,gold_TOTAL_Ship,gold_NEG_Price,gold_POS_Price,gold_NEU_Price,gold_TOTAL_Price,gold_NEG_App,gold_POS_App,gold_NEU_App,gold_TOTAL_App
1,phase1,52.9483,48.1348,0.0000,0.0000,0.0000,0.0000,1.1000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.3264,0.3328,0.2274,0.3309,0.3405,0.1892,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,phase1,17.4919,15.9017,0.0000,0.0000,0.0000,0.0000,1.1000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.3264,0.3328,0.2274,0.3309,0.3405,0.1892,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,phase2,18.6957,15.8111,0.5416,1.0451,0.4850,0.5441,1.1109,1.4356,0.1929,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.4099,0.4293,0.3667,0.2412,0.3525,0.2646,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,phase2,17.0914,14.7181,0.5257,1.0050,0.5071,0.5296,1.0876,1.4100,0.2008,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.4378,0.4597,0.3941,0.3963,0.3266,0.2366,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,phase2,14.6301,12.6534,0.5015,0.9630,0.5330,0.4860,1.0717,1.4144,0.2031,0.0000,0.0000,0.0000,0.0000,0.0000,0.2222,0.0016,0.0031,0.2222,0.0016,0.0031,0.2222,0.2222,0.2222,0.4892,0.5193,0.4482,0.4890,0.3433,0.2067,best,0.0000,0.0000,0.0000,0.0000,0.0000,0.0207,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2222,0.0000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,6,0,0,0,0
6,phase2,12.0162,10.4175,0.4776,0.9402,0.5576,0.4631,1.0581,1.4177,0.2051,0.0000,0.0000,0.1667,0.0578,0.0859,0.2397,0.0832,0.1235,0.3470,0.1204,0.1788,0.5381,0.5397,0.4156,0.5098,0.5508,0.4803,0.4107,0.4149,0.3727,best,0.0245,0.0000,0.0000,0.2086,0.3750,0.3290,0.0000,0.3333,0.0000,0.0000,0.4283,0.4647,0.3564,0.0000,0,2,0,2,0,0,0,0,0,0,0,0,8,4,28,40,11,21,22,54,10,57,92,159,0,0,0,0,1,1,0,2,0,0,0,0,0,0,0,0,14,22,4,40,18,32,4,54,36,101,22,159,0,0,0,0
7,phase2,10.2079,8.6703,0.4473,0.9078,0.5917,0.4612,1.0658,1.4128,0.2044,0.0000,0.0000,0.2072,0.1181,0.1504,0.2823,0.1609,0.2049,0.4033,0.2298,0.2928,0.5500,0.5628,0.4721,0.5293,0.5664,0.5243,0.4496,0.4525,0.4455,best,0.2030,0.0072,0.0994,0.4974,0.4373,0.3902,0.0129,0.5825,0.4405,0.4444,0.4986,0.4652,0.3952,0.2619,9,10,5,24,1,2,5,8,1,6,2,9,20,32,61,113,21,33,31,85,14,79,93,186,4,3,1,8,11,11,2,24,0,5,3,8,2,6,1,9,39,61,13,113,34,44,7,85,44,116,26,186,4,4,0,8
8,phase2,8.9642,7.4958,0.4374,0.8991,0.6083,0.4641,1.0675,1.4157,0.2037,0.0000,0.0000,0.2935,0.2084,0.2437,0.3504,0.2488,0.2910,0.5212,0.3700,0.4328,0.5746,0.5973,0.5318,0.5452,0.5860,0.5419,0.4928,0.4940,0.4900,best,0.3590,0.1520,0.3547,0.6150,0.5479,0.5591,0.2275,0.6138,0.6767,0.4782,0.5696,0.5180,0.3842,0.4917,23,16,7,46,17,13,9,39,10,17,13,40,30,46,67,143,36,34,25,95,4,80,87,171,13,19,7,39,22,20,4,46,15,20,4,39,18,19,3,40,47,73,23,143,40,44,11,95,44,102,25,171,17,20,2,39
9,phase2,7.7597,6.3756,0.4193,0.8655,0.6322,0.4520,1.0742,1.4085,0.2035,0.0000,0.0000,0.3489,0.2845,0.3134,0.3858,0.3146,0.3466,0.6006,0.4897,0.5395,0.5607,0.5987,0.5373,0.5431,0.5847,0.5432,0.5107,0.5112,0.5109,best,0.5094,0.2857,0.4686,0.6603,0.6056,0.6667,0.5276,0.5552,0.6291,0.4442,0.5692,0.5442,0.4337,0.5609,26,34,13,73,26,27,13,66,15,23,23,61,42,53,64,159,38,33,27,98,11,78,75,164,32,33,11,76,34,33,6,73,26,33,7,66,28,29,4,61,54,81,24,159,42,45,11,98,45,94,25,164,33,37,6,76
10,phase2,6.8177,5.5275,0.4035,0.8692,0.6873,0.4536,1.0651,1.4064,0.2054,0.0000,0.0000,0.3927,0.3479,0.3689,0.4284,0.3796,0.4025,0.6279,0.5563,0.5899,0.5948,0.6475,0.5849,0.5587,0.5968,0.5594,0.5352,0.5296,0.5295,best,0.5497,0.3632,0.5308,0.7014,0.6525,0.6840,0.6617,0.6080,0.6488,0.4811,0.6001,0.5913,0.5077,0.6271,31,41,18,90,36,37,13,86,24,29,24,77,48,66,51,165,41,29,33,103,16,77,71,164,50,30,14,94,40,41,9,90,37,42,7,86,36,36,5,77,57,83,25,165,44,46,13,103,44,94,26,164,44,44,6,94
