epoch,phase,train_loss,bio_loss,sent_loss,glob_loss,cons_loss,ctr_loss,w_bio,w_sent,w_global,w_cons,w_contrast,span_f1,sent_f1,glob_f1,composite,is_best,span_f1_Fashion,span_f1_Electronics,span_f1_General,span_f1_Service,span_f1_Ship,span_f1_Price,span_f1_App,sent_f1_Fashion,sent_f1_Electronics,sent_f1_General,sent_f1_Service,sent_f1_Ship,sent_f1_Price,sent_f1_App,pred_NEG_Fashion,pred_POS_Fashion,pred_NEU_Fashion,pred_TOTAL_Fashion,pred_NEG_Electronics,pred_POS_Electronics,pred_NEU_Electronics,pred_TOTAL_Electronics,pred_NEG_General,pred_POS_General,pred_NEU_General,pred_TOTAL_General,pred_NEG_Service,pred_POS_Service,pred_NEU_Service,pred_TOTAL_Service,pred_NEG_Ship,pred_POS_Ship,pred_NEU_Ship,pred_TOTAL_Ship,pred_NEG_Price,pred_POS_Price,pred_NEU_Price,pred_TOTAL_Price,pred_NEG_App,pred_POS_App,pred_NEU_App,pred_TOTAL_App,gold_NEG_Fashion,gold_POS_Fashion,gold_NEU_Fashion,gold_TOTAL_Fashion,gold_NEG_Electronics,gold_POS_Electronics,gold_NEU_Electronics,gold_TOTAL_Electronics,gold_NEG_General,gold_POS_General,gold_NEU_General,gold_TOTAL_General,gold_NEG_Service,gold_POS_Service,gold_NEU_Service,gold_TOTAL_Service,gold_NEG_Ship,gold_POS_Ship,gold_NEU_Ship,gold_TOTAL_Ship,gold_NEG_Price,gold_POS_Price,gold_NEU_Price,gold_TOTAL_Price,gold_NEG_App,gold_POS_App,gold_NEU_App,gold_TOTAL_App
1,phase1,58.3817,57.4063,0.0000,1.2192,0.0000,0.0000,1.0000,0.0000,0.8000,0.0000,0.0000,0.0057,0.0278,0.2664,0.0667,best,0.0000,0.0000,0.0062,0.0000,0.0066,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0282,0.0000,0.0000,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,68,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,41,24,3,68,0,0,0,0,0,0,0,0
2,phase1,32.4867,31.5603,0.0000,1.1580,0.0000,0.0000,1.0000,0.0000,0.8000,0.0000,0.0000,0.0000,0.0000,0.0787,0.0157,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,phase1,14.7513,13.8363,0.0000,1.1438,0.0000,0.0000,1.0000,0.0000,0.8000,0.0000,0.0000,0.0000,0.0000,0.0797,0.0159,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,phase2,15.5917,12.5038,0.8421,1.1308,0.6413,0.6616,1.0525,1.1726,0.8716,0.1020,0.3523,0.0000,0.0000,0.1398,0.0280,best,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,phase2,14.1579,11.6552,0.7481,1.1276,0.5817,0.3442,1.0160,1.2154,0.8260,0.1011,0.3930,0.0436,0.0779,0.1590,0.0804,best,0.1300,0.0000,0.0000,0.0000,0.0000,0.1463,0.0000,0.1558,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9,4,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,5,15,0,0,0,0,2,10,1,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,13,0,15,0,0,0,0
6,phase2,12.9915,10.4266,0.7295,1.1291,0.5720,0.2657,1.0257,1.2466,0.8436,0.1041,0.3663,0.1432,0.3476,0.1868,0.2337,best,0.2362,0.0000,0.0601,0.0000,0.0000,0.4444,0.0000,0.3297,0.0000,0.2372,0.0000,0.0000,0.3487,0.0000,7,25,0,32,0,0,0,0,6,7,0,13,0,0,0,0,0,0,0,0,16,40,21,77,0,0,0,0,9,21,2,32,0,0,0,0,2,6,5,13,0,0,0,0,0,0,0,0,16,57,4,77,0,0,0,0
7,phase2,11.3166,8.8224,0.6993,1.1235,0.5487,0.2210,1.0267,1.2560,0.8529,0.1042,0.3649,0.3095,0.3619,0.2604,0.3207,best,0.3174,0.0000,0.1467,0.3728,0.0000,0.6158,0.2368,0.4106,0.0000,0.2101,0.2865,0.0000,0.2228,0.5253,30,23,0,53,0,0,0,0,10,28,0,38,2,10,42,54,0,0,0,0,9,45,77,131,2,4,12,18,16,34,3,53,0,0,0,0,15,13,10,38,13,26,15,54,0,0,0,0,45,77,9,131,3,5,10,18
8,phase2,9.7407,7.3332,0.6903,1.1140,0.5402,0.1641,1.0305,1.2742,0.8597,0.1064,0.3537,0.4326,0.4104,0.3070,0.3986,best,0.3868,0.0370,0.2682,0.6427,0.0215,0.6987,0.4615,0.3359,1.0000,0.3571,0.4169,0.2308,0.2773,0.4007,32,15,0,47,1,0,0,1,29,44,1,74,13,33,76,122,9,1,0,10,10,55,72,137,19,29,3,51,18,26,3,47,1,0,0,1,27,33,14,74,29,59,34,122,4,6,0,10,46,79,12,137,19,20,12,51
9,phase2,8.3152,6.0507,0.6683,1.1092,0.5339,0.1641,1.0218,1.2559,0.8566,0.1052,0.3662,0.5400,0.4303,0.3427,0.4567,best,0.4621,0.2727,0.2938,0.6527,0.4634,0.7794,0.6926,0.3533,0.3535,0.3264,0.4590,0.2810,0.2837,0.3553,47,17,0,64,6,3,0,9,26,50,0,76,40,36,57,133,58,3,2,63,10,77,54,141,39,45,0,84,22,38,4,64,5,3,1,9,26,35,15,76,32,66,35,133,35,27,1,63,48,80,13,141,41,28,15,84
10,phase2,7.2505,5.0408,0.6501,1.0973,0.5244,0.1694,1.0188,1.2611,0.8518,0.1052,0.3709,0.6008,0.4180,0.2295,0.4534,,0.5233,0.3380,0.3390,0.6838,0.6014,0.7920,0.7922,0.3129,0.4051,0.3338,0.3412,0.4018,0.2266,0.3684,55,18,0,73,5,7,0,12,29,51,0,80,10,25,106,141,60,12,16,88,10,39,96,145,68,32,6,106,23,44,6,73,5,6,1,12,31,37,12,80,36,67,38,141,56,29,3,88,50,82,13,145,59,31,16,106
