epoch,phase,train_loss,span_f1,sent_f1,glob_f1,composite,match_rate,is_best
1,phase1,52.6739,0.0031,0.0000,0.1973,0.0410,0.0016,best
2,phase1,18.0631,0.0000,0.0000,0.2306,0.0461,0.0000,best
3,phase1,17.2680,0.0031,0.0000,0.2093,0.0434,0.0016,
4,phase1,15.1856,0.1500,0.1747,0.2693,0.1813,0.1092,best
5,phase1,12.3097,0.2746,0.1544,0.2353,0.2307,0.2340,
6,phase2,11.0586,0.4340,0.3872,0.2958,0.3923,0.4087,best
7,phase2,9.2419,0.5031,0.4379,0.3232,0.4476,0.5164,best
8,phase2,7.8892,0.5459,0.4572,0.3185,0.4738,0.5671,best
9,phase2,6.8902,0.5764,0.4625,0.3606,0.4990,0.5998,best
10,phase2,6.1168,0.6160,0.4558,0.3549,0.5158,0.6287,best
11,phase2,5.5440,0.6203,0.4604,0.3832,0.5250,0.6576,best
12,phase2,5.0138,0.6456,0.4439,0.3752,0.5310,0.6716,best
13,phase2,4.6793,0.6579,0.4538,0.3892,0.5430,0.6919,best
14,phase2,4.3123,0.6536,0.4650,0.3967,0.5456,0.7020,best
15,phase2,4.0879,0.6612,0.4442,0.4041,0.5447,0.6950,
16,phase2,3.8457,0.6604,0.4515,0.4028,0.5462,0.6973,best
17,phase2,3.7098,0.6721,0.4478,0.3931,0.5490,0.7161,best
18,phase2,3.5669,0.6749,0.4493,0.4041,0.5531,0.7020,best
19,phase2,3.4525,0.6756,0.4794,0.4009,0.5618,0.7114,best
20,phase2,3.3538,0.6751,0.4748,0.4059,0.5612,0.7075,
21,phase2,3.2337,0.6816,0.4706,0.4056,0.5631,0.7168,best
22,phase2,3.1768,0.6811,0.4761,0.4182,0.5670,0.7098,best
23,phase2,3.1047,0.6855,0.4843,0.4123,0.5705,0.7168,best
24,phase2,3.0611,0.6845,0.4835,0.4199,0.5713,0.7176,best
25,phase2,3.0228,0.6819,0.4939,0.3974,0.5686,0.7129,
26,phase2,2.9948,0.6888,0.4907,0.4138,0.5744,0.7231,best
27,phase2,2.9329,0.6857,0.4874,0.4236,0.5738,0.7176,
28,phase2,2.9487,0.6872,0.4917,0.4153,0.5742,0.7200,
29,phase2,2.8694,0.6848,0.4967,0.4109,0.5736,0.7192,
30,phase2,2.8923,0.6862,0.4934,0.4192,0.5750,0.7176,best
