epoch,phase,train_loss,bio_loss,sent_loss,glob_loss,cons_loss,ctr_loss,w_bio,w_sent,w_global,w_cons,w_contrast,tas_strict_p,tas_strict_r,tas_strict_f1,tas_relaxed_p,tas_relaxed_r,tas_relaxed_f1,span_p,span_r,span_f1,sent_matched_p,sent_matched_r,sent_matched_f1,sent_goldspan_p,sent_goldspan_r,sent_goldspan_f1,global_p,global_r,global_f1,is_best,span_f1_Fashion,span_f1_Electronics,span_f1_General,span_f1_Service,span_f1_Ship,span_f1_Price,span_f1_App,sent_f1_Fashion,sent_f1_Electronics,sent_f1_General,sent_f1_Service,sent_f1_Ship,sent_f1_Price,sent_f1_App,pred_NEG_Fashion,pred_POS_Fashion,pred_NEU_Fashion,pred_TOTAL_Fashion,pred_NEG_Electronics,pred_POS_Electronics,pred_NEU_Electronics,pred_TOTAL_Electronics,pred_NEG_General,pred_POS_General,pred_NEU_General,pred_TOTAL_General,pred_NEG_Service,pred_POS_Service,pred_NEU_Service,pred_TOTAL_Service,pred_NEG_Ship,pred_POS_Ship,pred_NEU_Ship,pred_TOTAL_Ship,pred_NEG_Price,pred_POS_Price,pred_NEU_Price,pred_TOTAL_Price,pred_NEG_App,pred_POS_App,pred_NEU_App,pred_TOTAL_App,gold_NEG_Fashion,gold_POS_Fashion,gold_NEU_Fashion,gold_TOTAL_Fashion,gold_NEG_Electronics,gold_POS_Electronics,gold_NEU_Electronics,gold_TOTAL_Electronics,gold_NEG_General,gold_POS_General,gold_NEU_General,gold_TOTAL_General,gold_NEG_Service,gold_POS_Service,gold_NEU_Service,gold_TOTAL_Service,gold_NEG_Ship,gold_POS_Ship,gold_NEU_Ship,gold_TOTAL_Ship,gold_NEG_Price,gold_POS_Price,gold_NEU_Price,gold_TOTAL_Price,gold_NEG_App,gold_POS_App,gold_NEU_App,gold_TOTAL_App
1,phase1,66.7746,60.7041,0.0000,0.0000,0.0000,0.0000,1.1000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.3621,0.3437,0.2622,0.3479,0.3389,0.2868,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,phase1,15.7387,14.3079,0.0000,0.0000,0.0000,0.0000,1.1000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.3621,0.3437,0.2622,0.3479,0.3389,0.2868,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,phase2,13.1850,10.5768,0.4700,0.8892,0.4401,0.3580,1.1443,1.3813,0.1956,0.1070,0.1854,0.3043,0.0056,0.0110,0.5217,0.0096,0.0189,0.3913,0.0072,0.0141,0.7758,0.6963,0.6278,0.6154,0.6385,0.6191,0.6056,0.4271,0.3773,best,0.0000,0.0000,0.0000,0.0264,0.0141,0.0521,0.0000,0.0000,1.0000,0.0000,1.0000,1.0000,0.4603,0.0000,0,0,0,0,0,0,1,1,0,0,0,0,1,2,0,3,0,1,0,1,0,8,4,12,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,2,0,3,0,1,0,1,4,6,2,12,0,0,0,0
4,phase2,7.7033,6.8106,0.3369,0.6814,0.4000,0.2017,1.0172,1.3628,0.2002,0.1046,0.2136,0.4009,0.2944,0.3395,0.5305,0.3896,0.4493,0.5218,0.3832,0.4419,0.7131,0.7644,0.7260,0.6871,0.7186,0.6926,0.6494,0.6151,0.6229,best,0.5333,0.3511,0.2378,0.6209,0.4469,0.4311,0.3737,0.7861,0.7187,0.5730,0.7874,0.7098,0.6152,0.7952,62,33,7,102,59,45,14,118,10,13,7,30,47,58,39,144,24,42,20,86,30,88,40,158,11,29,5,45,53,37,12,102,49,57,12,118,13,15,2,30,47,76,21,144,32,45,9,86,40,97,21,158,15,26,4,45
5,phase2,5.1458,4.3580,0.2864,0.6138,0.3723,0.1869,1.0094,1.4059,0.2046,0.1042,0.2071,0.5222,0.5352,0.5286,0.5941,0.6088,0.6013,0.6448,0.6608,0.6527,0.7411,0.7825,0.7526,0.7196,0.7480,0.7273,0.7383,0.7318,0.7345,best,0.6785,0.6248,0.5937,0.7800,0.6505,0.4905,0.7918,0.8157,0.7127,0.6156,0.7874,0.7944,0.6659,0.8640,88,49,15,152,77,83,18,178,33,31,22,86,64,77,42,183,47,44,22,113,40,96,43,179,38,48,14,100,78,57,17,152,68,91,19,178,38,39,9,86,67,91,25,183,46,52,15,113,44,112,23,179,43,48,9,100
6,phase2,3.8829,3.0365,0.2501,0.5658,0.3483,0.1596,1.0515,1.4045,0.2070,0.1051,0.1961,0.6088,0.6400,0.6240,0.6461,0.6792,0.6622,0.7293,0.7672,0.7478,0.7632,0.7915,0.7737,0.7379,0.7605,0.7462,0.7757,0.7746,0.7746,best,0.7515,0.6915,0.6617,0.8200,0.7719,0.7169,0.8441,0.7790,0.6988,0.6551,0.8143,0.7863,0.7589,0.8729,84,55,11,150,89,95,15,199,41,38,16,95,67,90,43,200,55,47,19,121,36,86,35,157,50,52,15,117,75,61,14,150,79,100,20,199,41,43,11,95,71,102,27,200,49,55,17,121,45,91,21,157,52,55,10,117
7,phase2,3.3051,2.4454,0.2224,0.5194,0.3234,0.1409,1.0866,1.4037,0.2063,0.1050,0.1934,0.6611,0.6960,0.6781,0.6786,0.7144,0.6960,0.7783,0.8200,0.7986,0.7746,0.7966,0.7834,0.7506,0.7691,0.7581,0.7924,0.7942,0.7924,best,0.8624,0.7135,0.6786,0.8715,0.8252,0.7863,0.8914,0.8072,0.7191,0.6448,0.8148,0.8205,0.7513,0.8816,76,57,12,145,90,97,17,204,44,44,13,101,73,89,43,205,59,49,17,125,39,86,31,156,54,53,15,122,71,59,15,145,82,102,20,204,42,47,12,101,74,104,27,205,51,55,19,125,47,89,20,156,55,57,10,122
8,phase2,2.9431,2.1036,0.2011,0.4967,0.3137,0.1443,1.0924,1.3670,0.2050,0.1053,0.1990,0.6662,0.7072,0.6861,0.6843,0.7264,0.7047,0.7845,0.8328,0.8079,0.7763,0.8017,0.7863,0.7570,0.7750,0.7644,0.7976,0.8002,0.7983,best,0.8545,0.7237,0.6894,0.8745,0.8621,0.7916,0.9071,0.7830,0.7203,0.6852,0.8080,0.8280,0.7822,0.8573,78,57,11,146,89,94,20,203,47,44,16,107,72,94,39,205,54,51,24,129,39,89,29,157,56,54,16,126,71,59,16,146,82,102,19,203,45,50,12,107,75,103,27,205,52,58,19,129,47,89,21,157,56,59,11,126
9,phase2,2.5505,1.7971,0.1929,0.4717,0.3018,0.1391,1.0751,1.4118,0.2036,0.1038,0.1974,0.6737,0.7184,0.6953,0.6917,0.7376,0.7139,0.7937,0.8464,0.8192,0.7816,0.8042,0.7907,0.7677,0.7898,0.7766,0.8066,0.8108,0.8079,best,0.8854,0.7237,0.6986,0.8860,0.8759,0.7979,0.9225,0.7933,0.7022,0.6777,0.8300,0.8167,0.8077,0.8524,78,59,11,148,92,94,18,204,45,46,17,108,75,92,42,209,58,51,21,130,41,89,29,159,58,54,16,128,71,62,15,148,83,101,20,204,45,51,12,108,78,103,28,209,53,58,19,130,48,88,23,159,57,60,11,128
10,phase2,2.2622,1.5160,0.1714,0.4394,0.2804,0.1313,1.0862,1.3950,0.2089,0.1055,0.1930,0.6847,0.7280,0.7057,0.7005,0.7448,0.7220,0.8014,0.8520,0.8259,0.7876,0.8055,0.7953,0.7731,0.7898,0.7802,0.8082,0.8122,0.8096,best,0.8820,0.7391,0.7063,0.8946,0.8750,0.8064,0.9265,0.7718,0.7380,0.6742,0.8222,0.8160,0.8131,0.8646,76,60,11,147,91,95,18,204,47,51,14,112,73,96,41,210,56,52,21,129,40,90,29,159,58,55,16,129,71,61,15,147,82,101,21,204,46,54,12,112,78,104,28,210,52,58,19,129,47,88,24,159,57,61,11,129
