epoch,phase,train_loss,bio_loss,sent_loss,glob_loss,cons_loss,ctr_loss,w_bio,w_sent,w_global,w_cons,w_contrast,tas_strict_p,tas_strict_r,tas_strict_f1,tas_relaxed_p,tas_relaxed_r,tas_relaxed_f1,span_p,span_r,span_f1,sent_matched_p,sent_matched_r,sent_matched_f1,sent_goldspan_p,sent_goldspan_r,sent_goldspan_f1,global_p,global_r,global_f1,is_best,span_f1_Fashion,span_f1_Electronics,span_f1_General,span_f1_Service,span_f1_Ship,span_f1_Price,span_f1_App,sent_f1_Fashion,sent_f1_Electronics,sent_f1_General,sent_f1_Service,sent_f1_Ship,sent_f1_Price,sent_f1_App,pred_NEG_Fashion,pred_POS_Fashion,pred_NEU_Fashion,pred_TOTAL_Fashion,pred_NEG_Electronics,pred_POS_Electronics,pred_NEU_Electronics,pred_TOTAL_Electronics,pred_NEG_General,pred_POS_General,pred_NEU_General,pred_TOTAL_General,pred_NEG_Service,pred_POS_Service,pred_NEU_Service,pred_TOTAL_Service,pred_NEG_Ship,pred_POS_Ship,pred_NEU_Ship,pred_TOTAL_Ship,pred_NEG_Price,pred_POS_Price,pred_NEU_Price,pred_TOTAL_Price,pred_NEG_App,pred_POS_App,pred_NEU_App,pred_TOTAL_App,gold_NEG_Fashion,gold_POS_Fashion,gold_NEU_Fashion,gold_TOTAL_Fashion,gold_NEG_Electronics,gold_POS_Electronics,gold_NEU_Electronics,gold_TOTAL_Electronics,gold_NEG_General,gold_POS_General,gold_NEU_General,gold_TOTAL_General,gold_NEG_Service,gold_POS_Service,gold_NEU_Service,gold_TOTAL_Service,gold_NEG_Ship,gold_POS_Ship,gold_NEU_Ship,gold_TOTAL_Ship,gold_NEG_Price,gold_POS_Price,gold_NEU_Price,gold_TOTAL_Price,gold_NEG_App,gold_POS_App,gold_NEU_App,gold_TOTAL_App
1,phase1,68.1216,61.9288,0.0000,0.0000,0.0000,0.0000,1.1000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.3621,0.3437,0.2622,0.3479,0.3389,0.2868,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,phase1,15.5154,14.1049,0.0000,0.0000,0.0000,0.0000,1.1000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.3621,0.3437,0.2622,0.3479,0.3389,0.2868,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,phase2,12.7407,10.6775,0.4739,0.8969,0.4489,0.5297,1.1019,1.3799,0.2025,0.0000,0.0000,0.2500,0.0032,0.0063,0.3750,0.0048,0.0095,0.3750,0.0048,0.0095,0.6111,0.5000,0.4496,0.5995,0.6241,0.5993,0.6254,0.6065,0.6103,best,0.0000,0.0000,0.0000,0.0089,0.0000,0.0526,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.3385,0.0000,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,8,3,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,4,5,2,11,0,0,0,0
4,phase2,8.0069,6.8203,0.3379,0.6680,0.4654,0.4013,1.0701,1.3966,0.2059,0.0000,0.0000,0.3945,0.2736,0.3231,0.5294,0.3672,0.4336,0.5167,0.3584,0.4232,0.6965,0.7511,0.7062,0.6753,0.7123,0.6782,0.6768,0.6771,0.6764,best,0.5227,0.3437,0.1676,0.5543,0.4377,0.4213,0.4422,0.7573,0.6832,0.4603,0.7643,0.7504,0.5600,0.8244,57,29,10,96,54,50,13,117,6,13,6,25,38,49,42,129,23,40,18,81,21,90,44,155,13,31,7,51,50,36,10,96,46,57,14,117,9,15,1,25,41,68,20,129,30,43,8,81,37,97,21,155,15,32,4,51
5,phase2,5.1922,4.4250,0.2830,0.6005,0.5132,0.3653,1.0294,1.4221,0.2097,0.0000,0.0000,0.4988,0.5160,0.5073,0.5723,0.5920,0.5820,0.6257,0.6472,0.6363,0.7316,0.7818,0.7427,0.7158,0.7535,0.7242,0.7524,0.7541,0.7530,best,0.6627,0.6093,0.5382,0.7647,0.6250,0.4860,0.8049,0.8489,0.7090,0.6361,0.7669,0.7867,0.5925,0.8654,81,46,17,144,88,79,17,184,31,26,21,78,59,77,48,184,47,43,24,114,33,99,50,182,41,47,14,102,75,53,16,144,70,96,18,184,36,35,7,78,66,93,25,184,49,50,15,114,43,114,25,182,44,49,9,102
6,phase2,3.9391,3.1741,0.2410,0.5594,0.5737,0.3467,1.0543,1.4001,0.2083,0.0000,0.0000,0.5904,0.6272,0.6082,0.6333,0.6728,0.6524,0.7154,0.7600,0.7370,0.7628,0.8028,0.7757,0.7376,0.7711,0.7478,0.7745,0.7758,0.7743,best,0.6957,0.6865,0.6397,0.8235,0.7552,0.7120,0.8669,0.8709,0.6702,0.6732,0.8042,0.8071,0.7260,0.8668,89,54,14,157,89,92,18,199,37,35,23,95,70,90,42,202,49,42,25,116,36,87,34,157,50,53,16,119,79,61,17,157,77,102,20,199,41,43,11,95,70,105,27,202,48,52,16,116,44,92,21,157,53,56,10,119
7,phase2,3.4424,2.6338,0.2262,0.5260,0.6310,0.3536,1.0694,1.4032,0.2052,0.0000,0.0000,0.6578,0.6888,0.6729,0.6769,0.7088,0.6925,0.7815,0.8184,0.7995,0.7785,0.8083,0.7899,0.7543,0.7862,0.7652,0.7822,0.7841,0.7823,best,0.8476,0.7138,0.6975,0.8534,0.8410,0.7872,0.9104,0.8416,0.6968,0.6806,0.8427,0.8519,0.7316,0.8569,78,55,12,145,94,89,18,201,41,41,22,104,77,91,36,204,52,49,22,123,37,89,30,156,54,54,17,125,72,58,15,145,81,100,20,201,44,47,13,104,73,104,27,204,51,54,18,123,46,89,21,156,56,59,10,125
8,phase2,2.8754,2.1647,0.2101,0.5118,0.6767,0.3370,1.0700,1.4067,0.2046,0.0000,0.0000,0.6717,0.7056,0.6883,0.6877,0.7224,0.7046,0.7900,0.8304,0.8097,0.7833,0.8010,0.7906,0.7593,0.7779,0.7665,0.7914,0.7934,0.7914,best,0.8669,0.7110,0.6942,0.8777,0.8571,0.7989,0.9185,0.8224,0.7228,0.6699,0.8314,0.8365,0.7588,0.8460,79,55,11,145,92,88,18,198,47,46,14,107,73,91,39,203,58,51,18,127,42,90,27,159,58,53,16,127,72,58,15,145,81,98,19,198,46,49,12,107,73,103,27,203,52,56,19,127,48,89,22,159,56,60,11,127
9,phase2,2.5404,1.8517,0.1913,0.4732,0.7375,0.3526,1.1009,1.3712,0.2040,0.0000,0.0000,0.6749,0.7208,0.6971,0.6951,0.7424,0.7180,0.7910,0.8448,0.8170,0.7891,0.8108,0.7981,0.7692,0.7952,0.7790,0.7924,0.7949,0.7927,best,0.8793,0.7201,0.6977,0.8707,0.8881,0.7989,0.9338,0.8337,0.7220,0.6814,0.8438,0.8377,0.7740,0.8602,78,58,11,147,96,90,17,203,47,47,16,110,75,95,38,208,59,52,18,129,39,91,31,161,60,54,16,130,72,61,14,147,82,101,20,203,47,51,12,110,77,104,27,208,53,57,19,129,49,89,23,161,59,61,10,130
10,phase2,2.2161,1.6092,0.1767,0.4633,0.8321,0.3527,1.0764,1.3859,0.2063,0.0000,0.0000,0.6824,0.7304,0.7056,0.7010,0.7504,0.7249,0.7990,0.8552,0.8261,0.7942,0.8205,0.8049,0.7784,0.8101,0.7903,0.7993,0.8005,0.7992,best,0.8910,0.7211,0.7166,0.8826,0.9028,0.8107,0.9343,0.8185,0.7312,0.7037,0.8399,0.8373,0.8107,0.8540,78,59,11,148,94,90,19,203,46,50,20,116,72,92,44,208,59,52,20,131,40,93,28,161,59,56,16,131,72,61,15,148,82,100,21,203,48,55,13,116,76,104,28,208,53,59,19,131,49,89,23,161,59,61,11,131
