epoch,phase,train_loss,train_bio_loss,train_sent_loss,train_global_loss,train_consistency_loss,train_contrast_loss,span_f1,sent_f1,glob_f1,composite,is_best
1,phase1,90.8721,60.1557,0.0000,1.2773,0.0000,0.0000,0.0277,0.3474,0.1976,0.1576,best
2,phase1,30.6939,20.0721,0.0000,1.1716,0.0000,0.0000,0.0000,0.0000,0.2678,0.0536,
3,phase1,18.8157,12.1669,0.0000,1.1305,0.0000,0.0000,0.0000,0.0000,0.2929,0.0586,
4,phase1,18.0512,11.6562,0.0000,1.1338,0.0000,0.0000,0.0226,0.1905,0.2490,0.1182,
5,phase1,16.7515,10.7919,0.0000,1.1273,0.0000,0.0000,0.1142,0.2416,0.3507,0.1997,best
6,phase2,15.3915,9.0755,1.1264,1.1213,0.4990,0.2749,0.2148,0.3016,0.3285,0.2636,best
7,phase2,13.0556,7.5422,1.1011,1.1147,0.4888,0.1169,0.3528,0.3152,0.3473,0.3404,best
8,phase2,10.9958,6.1763,1.0994,1.1019,0.4937,0.1051,0.4059,0.3370,0.3826,0.3806,best
9,phase2,9.3177,5.0720,1.0919,1.0923,0.4915,0.0753,0.4889,0.3962,0.3651,0.4363,best
10,phase2,8.1034,4.2679,1.0883,1.0864,0.4907,0.0701,0.5193,0.4064,0.3840,0.4583,best
11,phase2,6.9602,3.5164,1.0793,1.0772,0.4868,0.0636,0.5487,0.4264,0.3766,0.4776,best
12,phase2,6.3093,3.0819,1.0816,1.0775,0.4884,0.0574,0.5920,0.4335,0.3839,0.5028,best
13,phase2,5.5458,2.5877,1.0661,1.0614,0.4839,0.0631,0.6158,0.4409,0.3919,0.5186,best
14,phase2,5.0394,2.2529,1.0648,1.0569,0.4790,0.0630,0.6294,0.4127,0.3434,0.5072,
15,phase2,4.6211,1.9752,1.0678,1.0479,0.4817,0.0611,0.6436,0.4400,0.3839,0.5306,best
16,phase2,4.3047,1.7739,1.0539,1.0446,0.4780,0.0663,0.6565,0.4371,0.3797,0.5353,best
17,phase2,4.0449,1.6043,1.0541,1.0373,0.4850,0.0572,0.6624,0.4387,0.3760,0.5380,best
18,phase2,3.8681,1.4922,1.0490,1.0320,0.4850,0.0539,0.6656,0.4375,0.3796,0.5400,best
19,phase2,3.6272,1.3365,1.0435,1.0278,0.4803,0.0569,0.6759,0.4534,0.3645,0.5469,best
20,phase2,3.4571,1.2320,1.0361,1.0161,0.4772,0.0574,0.6811,0.4645,0.3864,0.5572,best
21,phase2,3.2584,1.1035,1.0336,1.0134,0.4722,0.0522,0.6893,0.4547,0.3834,0.5577,best
22,phase2,3.2030,1.0688,1.0291,1.0081,0.4715,0.0653,0.6905,0.4724,0.3805,0.5631,best
23,phase2,3.0480,0.9727,1.0242,1.0067,0.4741,0.0463,0.6908,0.4691,0.3843,0.5630,
24,phase2,3.0589,0.9776,1.0286,0.9974,0.4749,0.0593,0.6948,0.4773,0.3950,0.5696,best
25,phase2,2.9299,0.8950,1.0258,0.9933,0.4699,0.0600,0.6912,0.4812,0.3935,0.5686,
26,phase2,2.8867,0.8721,1.0172,0.9904,0.4696,0.0639,0.6927,0.4835,0.3961,0.5706,best
27,phase2,2.7905,0.8085,1.0194,0.9876,0.4696,0.0584,0.6918,0.4864,0.4102,0.5739,best
28,phase2,2.8062,0.8197,1.0169,0.9908,0.4673,0.0588,0.6971,0.4870,0.3886,0.5724,
29,phase2,2.7409,0.7825,1.0134,0.9832,0.4681,0.0511,0.6987,0.4899,0.3930,0.5749,best
30,phase2,2.6717,0.7412,1.0079,0.9720,0.4681,0.0639,0.6960,0.5077,0.3980,0.5799,best
31,phase2,2.7427,0.7860,1.0081,0.9824,0.4711,0.0574,0.6955,0.5035,0.4004,0.5789,
32,phase2,2.6359,0.7169,1.0094,0.9711,0.4769,0.0597,0.6986,0.5022,0.4008,0.5801,best
33,phase2,2.6877,0.7535,1.0053,0.9734,0.4655,0.0630,0.6991,0.4980,0.3957,0.5781,
34,phase2,2.6497,0.7277,1.0109,0.9698,0.4662,0.0526,0.6979,0.5022,0.4052,0.5807,best
35,phase2,2.6086,0.7026,1.0040,0.9702,0.4688,0.0622,0.6998,0.5007,0.3999,0.5801,
36,phase2,2.6055,0.6978,1.0048,0.9806,0.4651,0.0572,0.6994,0.4972,0.4040,0.5797,
37,phase2,2.6260,0.7160,1.0036,0.9733,0.4684,0.0500,0.6999,0.5039,0.3990,0.5809,best
38,phase2,2.5674,0.6770,1.0010,0.9759,0.4685,0.0540,0.6999,0.5036,0.3984,0.5807,
39,phase2,2.5755,0.6831,1.0023,0.9699,0.4675,0.0564,0.7007,0.5030,0.4019,0.5816,best
40,phase2,2.6181,0.7022,1.0070,0.9844,0.4700,0.0618,0.6999,0.5031,0.3973,0.5804,
