epoch,phase,train_loss,train_bio_loss,train_sent_loss,train_global_loss,train_consistency_loss,train_contrast_loss,span_f1,sent_f1,glob_f1,composite,is_best
1,phase1,90.7303,60.0564,0.0000,1.2916,0.0000,0.0000,0.0259,0.2833,0.1986,0.1376,best
2,phase1,30.5353,19.9680,0.0000,1.1667,0.0000,0.0000,0.0000,0.0000,0.2232,0.0446,
3,phase1,18.7902,12.1526,0.0000,1.1227,0.0000,0.0000,0.0000,0.0000,0.2509,0.0502,
4,phase1,18.1281,11.7094,0.0000,1.1280,0.0000,0.0000,0.0090,0.1333,0.2622,0.0969,
5,phase1,16.9332,10.9141,0.0000,1.1241,0.0000,0.0000,0.0600,0.2500,0.3174,0.1685,best
6,phase2,15.5075,9.1726,1.1261,1.1126,0.4900,0.2786,0.2046,0.2577,0.3042,0.2404,best
7,phase2,13.1426,7.6147,1.1011,1.1120,0.4731,0.1326,0.3390,0.3445,0.2672,0.3263,best
8,phase2,11.0514,6.2286,1.1006,1.1018,0.4733,0.1110,0.4185,0.3432,0.3321,0.3786,best
9,phase2,9.3978,5.1416,1.0914,1.0920,0.4715,0.0816,0.4713,0.4114,0.3417,0.4274,best
10,phase2,8.1961,4.3454,1.0879,1.0808,0.4637,0.0882,0.5106,0.4209,0.3497,0.4515,best
11,phase2,7.1285,3.6438,1.0797,1.0734,0.4643,0.0772,0.5349,0.4293,0.3369,0.4636,best
12,phase2,6.4733,3.2064,1.0814,1.0740,0.4644,0.0736,0.5730,0.4539,0.3588,0.4944,best
13,phase2,5.7396,2.7302,1.0669,1.0608,0.4601,0.0798,0.5986,0.4336,0.3725,0.5039,best
14,phase2,5.2375,2.3980,1.0669,1.0572,0.4599,0.0737,0.6193,0.4350,0.3568,0.5115,best
15,phase2,4.8301,2.1265,1.0689,1.0465,0.4598,0.0839,0.6376,0.4453,0.3760,0.5276,best
16,phase2,4.5162,1.9276,1.0549,1.0438,0.4556,0.0838,0.6522,0.4499,0.3890,0.5389,best
17,phase2,4.1863,1.7134,1.0554,1.0352,0.4571,0.0679,0.6489,0.4526,0.3931,0.5389,
18,phase2,4.0253,1.6105,1.0500,1.0301,0.4571,0.0722,0.6523,0.4541,0.3907,0.5405,best
19,phase2,3.7754,1.4494,1.0436,1.0269,0.4505,0.0725,0.6656,0.4533,0.4014,0.5490,best
20,phase2,3.5998,1.3410,1.0347,1.0181,0.4512,0.0734,0.6694,0.4653,0.4145,0.5572,best
21,phase2,3.4022,1.2125,1.0341,1.0076,0.4509,0.0766,0.6716,0.4521,0.3974,0.5509,
22,phase2,3.3419,1.1763,1.0283,1.0052,0.4454,0.0810,0.6707,0.4643,0.4059,0.5558,
23,phase2,3.1771,1.0711,1.0273,1.0053,0.4498,0.0597,0.6792,0.4663,0.4204,0.5636,best
24,phase2,3.2048,1.0907,1.0271,0.9966,0.4508,0.0694,0.6786,0.4747,0.4170,0.5651,best
25,phase2,3.0462,0.9862,1.0254,0.9899,0.4449,0.0812,0.6761,0.4679,0.4175,0.5619,
26,phase2,3.0014,0.9621,1.0179,0.9913,0.4434,0.0756,0.6760,0.4707,0.4089,0.5610,
27,phase2,2.9075,0.8999,1.0182,0.9849,0.4412,0.0830,0.6758,0.4844,0.4199,0.5672,best
28,phase2,2.9140,0.9047,1.0194,0.9851,0.4484,0.0752,0.6755,0.4803,0.4165,0.5652,
29,phase2,2.8509,0.8682,1.0148,0.9823,0.4447,0.0678,0.6761,0.4787,0.4131,0.5643,
30,phase2,2.7962,0.8333,1.0094,0.9765,0.4431,0.0883,0.6821,0.4930,0.4144,0.5718,best
31,phase2,2.8707,0.8826,1.0096,0.9811,0.4452,0.0811,0.6812,0.4910,0.4295,0.5738,best
32,phase2,2.7480,0.8050,1.0111,0.9668,0.4468,0.0790,0.6802,0.4933,0.4231,0.5727,
33,phase2,2.8064,0.8456,1.0071,0.9735,0.4376,0.0743,0.6794,0.4926,0.4205,0.5716,
34,phase2,2.7861,0.8289,1.0120,0.9733,0.4402,0.0732,0.6782,0.4984,0.4249,0.5736,
35,phase2,2.7230,0.7921,1.0042,0.9692,0.4391,0.0803,0.6831,0.4946,0.4253,0.5750,best
36,phase2,2.7287,0.7937,1.0066,0.9739,0.4392,0.0755,0.6794,0.4947,0.4270,0.5735,
37,phase2,2.7355,0.7988,1.0057,0.9766,0.4376,0.0714,0.6801,0.4957,0.4274,0.5743,
38,phase2,2.6896,0.7714,1.0047,0.9708,0.4398,0.0679,0.6804,0.4927,0.4263,0.5733,
39,phase2,2.6949,0.7725,1.0055,0.9719,0.4402,0.0754,0.6801,0.4949,0.4288,0.5743,
40,phase2,2.7315,0.7921,1.0092,0.9828,0.4393,0.0692,0.6809,0.4926,0.4317,0.5746,
