epoch,phase,train_loss,train_bio_loss,train_sent_loss,train_global_loss,train_consistency_loss,train_contrast_loss,span_f1,sent_f1,glob_f1,composite,is_best
1,phase1,92.9532,61.5829,0.0000,1.1577,0.0000,0.0000,0.0000,0.0000,0.2143,0.0429,best
2,phase1,19.4226,12.5760,0.0000,1.1172,0.0000,0.0000,0.0046,0.0000,0.2054,0.0434,best
3,phase1,18.1243,11.7131,0.0000,1.1095,0.0000,0.0000,0.0076,0.0000,0.2325,0.0503,best
4,phase1,17.6320,11.3840,0.0000,1.1120,0.0000,0.0000,0.0206,0.1000,0.1977,0.0799,best
5,phase1,16.8325,10.8531,0.0000,1.1058,0.0000,0.0000,0.0550,0.1282,0.2251,0.1110,best
6,phase2,17.3402,10.2542,1.1261,1.0948,0.0000,0.4011,0.1265,0.4421,0.2138,0.2386,best
7,phase2,16.3838,9.6065,1.1119,1.0909,0.0000,0.3144,0.1645,0.2367,0.2533,0.2039,
8,phase2,15.3356,8.9277,1.1098,1.0880,0.0000,0.2276,0.2097,0.3602,0.2327,0.2594,best
9,phase2,14.5642,8.4371,1.0975,1.0840,0.0000,0.1647,0.2433,0.3389,0.2741,0.2781,best
10,phase2,13.7470,7.9028,1.0915,1.0840,0.0000,0.1363,0.3028,0.3678,0.2911,0.3200,best
11,phase2,13.2507,7.5815,1.0839,1.0805,0.0000,0.1247,0.3410,0.3924,0.2549,0.3392,best
12,phase2,12.7744,7.2683,1.0754,1.0806,0.0000,0.1371,0.3605,0.3753,0.2850,0.3498,best
13,phase2,12.4081,7.0254,1.0785,1.0776,0.0000,0.1230,0.4114,0.3587,0.2479,0.3629,best
14,phase2,12.0870,6.8198,1.0728,1.0729,0.0000,0.1112,0.4187,0.3652,0.2591,0.3707,best
15,phase2,11.9189,6.7128,1.0673,1.0721,0.0000,0.1096,0.4407,0.3507,0.2670,0.3790,best
16,phase2,11.7203,6.5786,1.0726,1.0690,0.0000,0.1028,0.4382,0.3618,0.2659,0.3808,best
17,phase2,11.7546,6.6014,1.0720,1.0699,0.0000,0.1037,0.4371,0.3530,0.2723,0.3789,
18,phase2,11.5085,6.4409,1.0673,1.0710,0.0000,0.1031,0.4415,0.3646,0.2677,0.3836,best
19,phase2,11.6001,6.5037,1.0648,1.0665,0.0000,0.1119,0.4422,0.3628,0.2733,0.3846,best
20,phase2,11.5052,6.4388,1.0675,1.0677,0.0000,0.1067,0.4440,0.3677,0.2729,0.3869,best
